"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0402";1;"1u";;;
2;"C2";"C_0805";1;"1u";;;
3;"CC1";"C_0402";1;"12n";;;
4;"CC2";"C_0402";1;"10p";;;
5;"CIN1,COUT1,CSS1,CV5";"C_0603";4;"1u";;;
6;"COUT2";"C_1206";1;"2.2u";;;
7;"COUT3";"C_1206";1;"4.7u";;;
8;"D1,D2,Z1";"D_SOT-23_ANK";3;"D";;;
9;"L1,L2";"LPD5030-473MRB";2;"47 uH";;;
10;"L3";"Neosid_Inductor_SM-NE30_SMD1210";1;"1u";;;
11;"P1";"JST_EH_B10B-EH-A_10x2.50mm_Straight";1;"CONN_01X10";;;
12;"P2,P3,P5,P6,P10,P11,P13";"Hirose_DF63-1P-3.96DSA_01x3.96mm_Straight";7;"CONN_01X01";;;
13;"P4";"JST_EH_B09B-EH-A_09x2.50mm_Straight";1;"CONN_01X02";;;
14;"P7,P8,P9,P12";"Hirose_DF63-2P-3.96DSA_02x3.96mm_Straight";4;"CONN_01X02";;;
15;"RB0";"R_0402";1;"1";;;
16;"RC1";"R_0402";1;"100k";;;
17;"REN1";"R_0805";1;"50k";;;
18;"RF1B1";"R_0402";1;"47.5k";;;
19;"RF2";"R_0402";1;"4.22k";;;
20;"RFILT1";"R_0402";1;"1.78";;;
21;"RS1";"R_0402";1;"0";;;
22;"RS2";"R_0402";1;"DNI";;;
23;"U1";"SOP65P490X110-8N";1;"ADP1613";;;
24;"U2";"QFN-40-1EP_6x6mm_Pitch0.5mm";1;"ADAS3022";;;
25;"U3";"SOT95P290X145-5N";1;"AD8031";;;
26;"U4";"SOIC127P600X175-8N";1;"ADR434";;;
27;"D3";"LED_0603";1;"LED";;;
28;"Rled1";"R_0603";1;"250";;;
29;"U5";"Teensy3.2Socket";1;"Teensy3.2Socket";;;
